Curso;Descripción;Duración;Precio;Estudiantes;Instructor;Idioma;Imagen;Rating;Categoria
Desarrollo Full Stack con MERN: De Principiante a Experto;Aprende a desarrollar aplicaciones web completas con el stack MERN (MongoDB, Express, React y Node.js). Este curso cubre desde lo básico hasta la creación de proyectos avanzados. Ideal para quienes buscan convertirse en desarrolladores Full Stack.;30;99.99;12;1;Español;src/media/miniaturascursos/Curso-mern-miniatura.png;3.9;Mern
Desarrollo Web Profesional: HTML, CSS, JavaScript y más;Domina las tecnologías clave del desarrollo web: HTML, CSS, JavaScript y más. Aprende a crear sitios web modernos y responsivos desde cero. Ideal para quienes quieren comenzar una carrera en desarrollo web profesional.;20;79.99;10;1;Español;src/media/miniaturascursos/Curso-web-miniatura.png;2.5;Web
Curso de Python para data science;Aprende Python aplicado al análisis de datos y la ciencia de datos. Este curso cubre herramientas clave como Pandas, NumPy y visualización de datos. Ideal para iniciarte en el mundo de la ciencia de datos y la programación con Python.;40;149.99;15;2;Español;src/media/miniaturascursos/Curso-Python-Miniautra.png;4.8;Python
Aprende Next.js: Creación de Páginas Web Dinámicas y SEO-Friendly;Aprende a crear aplicaciones web rápidas y dinámicas con Next.js. Este curso te enseñará a optimizar el SEO y mejorar el rendimiento de tus sitios. Ideal para desarrolladores que buscan dominar Next.js y React.;25;119.99;10;3;Español;src/media/miniaturascursos/Curso-Nextjs-Miniatura.png;4.5;Next.js
Domina MySQL: Curso Completo para Principiantes;Aprende a gestionar bases de datos con MySQL desde cero. Este curso cubre desde consultas básicas hasta técnicas avanzadas para manejar datos eficientemente. Ideal para quienes comienzan en el mundo de las bases de datos.;35;200.99;18;4;Español;src/media/miniaturascursos/Curso-MySql-Miniatura.png;1.5;MySql
Desarrollo de Aplicaciones Android con Kotlin;Aprende a desarrollar aplicaciones para Android usando Kotlin. Este curso cubre desde lo más básico hasta la creación de apps completas. Ideal para futuros desarrolladores de Android.;30;150,99;25;2;Español;;3.7;Kotlin
Fundamentos de C++: De Principiante a Experto;Aprende C++ desde lo más básico hasta conceptos avanzados como punteros y manejo de memoria. Este curso es perfecto para quienes quieren ingresar en el desarrollo de software de alto rendimiento.;40;180.99;30;3;Español;4.2;C++
Introducción a Ruby on Rails: Desarrollo Web Ágil;Aprende a desarrollar aplicaciones web dinámicas con Ruby on Rails. Este curso cubre desde la creación de una base de datos hasta la implementación de funciones avanzadas en aplicaciones.;30;110.99;22;4;Español;4.1;Ruby
Curso Completo de Swift para Desarrolladores de iOS;Aprende a desarrollar aplicaciones para dispositivos Apple con Swift. Cubre desde lo básico hasta técnicas avanzadas para crear apps robustas y con una excelente interfaz de usuario.;35;199,99;35;1;Español;;4.6;Swift
Desarrollo Web con Vue.js;Aprende a desarrollar interfaces de usuario dinámicas y reactivas con Vue.js. Este curso es ideal para quienes ya dominan JavaScript y desean mejorar sus habilidades en el desarrollo frontend.;30;120.99;18;4;Español;;4.4;Vue.js
Aprende Go desde sus fundamentos y descubre por qué es un lenguaje ideal para crear aplicaciones de alto rendimiento y escalabilidad.;25;130.99;15;1;Español;;4.0;Go
